title_id,reason,has_details_row,quality_flags
pavilon-salamandry,TRULY_MISSING,True,
aktrisa-prizrak,TRULY_MISSING,True,
linda-linda-linda,TRULY_MISSING,True,
vy-nam-ne-podhodite,TRULY_MISSING,True,
povtor-moment-kogda-vse-nachalos-zanovo,TRULY_MISSING,True,
lyubov-v-realnom-vremeni-4,TRULY_MISSING,True,
lyubov-v-realnom-vremeni-3,TRULY_MISSING,True,
lyubov-v-realnom-vremeni-2,TRULY_MISSING,True,
morfey,TRULY_MISSING,True,
pechalnyy-i-prekrasnyy-mir,TRULY_MISSING,True,
mechnik,TRULY_MISSING,True,
beg-s-prepyatstviyami,TRULY_MISSING,True,
lzhec-lzhec-poydem-pod-venec,TRULY_MISSING,True,
skazaniya-obezyaney-gory,TRULY_MISSING,True,
son-v-krasnom-tereme,TRULY_MISSING,True,
vydayuschiysya-talant,TRULY_MISSING,True,
primanka-2-2,TRULY_MISSING,True,
neozhidannaya-vstrecha,TRULY_MISSING,True,
stoykiy-doktor,TRULY_MISSING,True,
sdavshis-pered-ney,TRULY_MISSING,True,
paren-v-arendu,TRULY_MISSING,True,
dyavol-ryadom-s-toboy,TRULY_MISSING,True,
vse-nachalos-s-poceluya,TRULY_MISSING,True,
sekretnyy-pleylist,TRULY_MISSING,True,
obezoruzhivayuschaya-romantika,TRULY_MISSING,True,
vy-dostavlyaete-vremya-2002,TRULY_MISSING,True,
on-vlyublen-v-nee,TRULY_MISSING,True,
nazad-v-80-e-vmeste-do-sedyh-volos,TRULY_MISSING,True,
razvedis-so-mnoy-2,TRULY_MISSING,True,
100-prichin-ne-byt-imperatorom,TRULY_MISSING,True,
prizrachnyy-brak,TRULY_MISSING,True,
da-budet-moya-volya,TRULY_MISSING,True,
hizhra,TRULY_MISSING,True,
mayumi,TRULY_MISSING,True,
troica,TRULY_MISSING,True,
padshiy-master-epizod-0,TRULY_MISSING,True,
odolet-monstra,TRULY_MISSING,True,
predsedatel-novichok-kan,TRULY_MISSING,True,
aida-vozvraschaetsya,TRULY_MISSING,True,
krovavaya-vedma,TRULY_MISSING,True,
saharnaya-vata-babl-gam,TRULY_MISSING,True,
dorogaya-zhizn,TRULY_MISSING,True,
kormilec,TRULY_MISSING,True,
prekrasnyy-novyy-mir,TRULY_MISSING,True,
novaya-zhizn,TRULY_MISSING,True,
ozornye-detektivy-2,TRULY_MISSING,True,
braziliya-1970-tretya-zvezda,TRULY_MISSING,True,
propeller-nochnoy-reys-v-odin-konec,TRULY_MISSING,True,
cvety-dvuh-mirov,TRULY_MISSING,True,
sledy-dozhdya,TRULY_MISSING,True,
orehovaya-ferma,TRULY_MISSING,True,
yabloko-i-luk-minisezon,TRULY_MISSING,True,
reys-karavella-114,TRULY_MISSING,True,
preskott,TRULY_MISSING,True,
on-neupravlyaem,TRULY_MISSING,True,
domashnyaya-eda-ot-papy-i-otca,TRULY_MISSING,True,
pererozhdenie-posledniy-geroy,TRULY_MISSING,True,
vselenie,TRULY_MISSING,True,
lyubov-na-oblake,TRULY_MISSING,True,
otdel-kadrov,TRULY_MISSING,True,
muroi-sindzi-nepobezhdennyy,TRULY_MISSING,True,
panor-2,TRULY_MISSING,True,
pozhirayuschie-nasekomye,TRULY_MISSING,True,
moya-ostanovka-zemlya,TRULY_MISSING,True,
krov-del-toro,TRULY_MISSING,True,
lyubov-v-razrushennom-izmerenii,TRULY_MISSING,True,
imperiya,TRULY_MISSING,True,
6-sekundnaya-traektoriya-melanholiya-pirotehnika-motidzuki-seytaro,TRULY_MISSING,True,
mech-imperatora-menya-okruzhayut-telepaty,TRULY_MISSING,True,
moy-taynyy-vozdyhatel,TRULY_MISSING,True,
lyubimica,TRULY_MISSING,True,
vozrozhdenie,TRULY_MISSING,True,
lyubit-tebya-neizbezhnaya-sudba,TRULY_MISSING,True,
boevye-popadanki,TRULY_MISSING,True,
dzin-moy-taynyy-muzh-v-seti,TRULY_MISSING,True,
revnivyy-marshal,TRULY_MISSING,True,
lyubov-v-nepodhodyaschee-vremya,TRULY_MISSING,True,
tysyacha-obmanov-i-sotnya-planov,TRULY_MISSING,True,
bud-painkoy-tebe-ne-sbezhat,TRULY_MISSING,True,
dni-kotorye-potryasli-mir-chernobyl,TRULY_MISSING,True,
python-dokumentalnyy-film,TRULY_MISSING,True,
pravila-gostevogo-doma-yu-dzhe-soka,TRULY_MISSING,True,
volshebnaya-karusel-obezyanki,TRULY_MISSING,True,
rusalka-2,TRULY_MISSING,True,
mest-harsens-aylend,TRULY_MISSING,True,
balkon-v-limozhe,TRULY_MISSING,True,
paren,TRULY_MISSING,True,
proklyatye,TRULY_MISSING,True,
muzhchina-s-serdcem,TRULY_MISSING,True,
omukade,TRULY_MISSING,True,
podrostkovaya-prestupnost-2,TRULY_MISSING,True,
lyubov-na-veka,TRULY_MISSING,True,
rodinka,TRULY_MISSING,True,
gospozha-czyan-davay-snova-pozhenimsya,TRULY_MISSING,True,
selo,TRULY_MISSING,True,
dostup,TRULY_MISSING,True,
aynali,TRULY_MISSING,True,
doktor-dzheyson-2-svet-i-tma,TRULY_MISSING,True,
kogda-nichego-ne-ostalos,TRULY_MISSING,True,
gulyaya-po-parku,TRULY_MISSING,True,
skameyka-zapasnyh,TRULY_MISSING,True,
odinokie-2,TRULY_MISSING,True,
smert-v-derevenskom-sadu,TRULY_MISSING,True,
pandora-ogon-i-led,TRULY_MISSING,True,
tipichnye-gollandcy-3,TRULY_MISSING,True,
tipichnye-gollandcy-2,TRULY_MISSING,True,
vrachi,TRULY_MISSING,True,
pati,TRULY_MISSING,True,
hameln,TRULY_MISSING,True,
poslednyaya-sdelka,TRULY_MISSING,True,
avantyura-princessy,TRULY_MISSING,True,
ty-sam-nesesh-otvetstvennost-za-svoi-veschi,TRULY_MISSING,True,
gluhoman-krovnaya-vrazhda,TRULY_MISSING,True,
privkus-soli,TRULY_MISSING,True,
noch-gde-to-esche,TRULY_MISSING,True,
chudesnoe-leto,TRULY_MISSING,True,
lyubov-v-derevne,TRULY_MISSING,True,
ni-slova-bolshe,TRULY_MISSING,True,
provinciya-gde-dyavol-zhivet-po-sosedstvu,TRULY_MISSING,True,
akuly-v-prage,TRULY_MISSING,True,
oslepitelno,TRULY_MISSING,True,
